IMPCTY,IYEAR,45-64,65-69,70-74,75-79,80-85,85+,White,Black,American_Indian_or_Alaskan_Native,Asian_and_PI,Hispanic,Other,0,9,12,14,16,19,Male,Female,Total_LLCPWT,CNF_MMRY_YES_LLCPWT,Percentage_CNFM,Total_LLCPWT_County,County_Percentage_CNFM
1,2018,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,50.42031165,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,300.1138287,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,273.7909442,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,632.0960057,93.51352493,14.8,23240.42754,0.402374374
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,234.7195884,42.42069112,18.1,23240.42754,0.182529736
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,78.75548361,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,810.8980349,247.6767314,30.5,23240.42754,1.065715039
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,34.09682312,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,70.78739223,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,20.66309608,15.11068769,73.1,23240.42754,0.065018975
1,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,15.44152631,15.44152631,100.0,23240.42754,0.066442523
1,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,248.3576988,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,60.04432692,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,38.08229751,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,110.4085598,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,70.3003949,70.3003949,100.0,23240.42754,0.302491831
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1041.161889,33.47624454,3.2,23240.42754,0.144043153
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1190.505577,144.1700725,12.1,23240.42754,0.62034174
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2021.628534,305.1907294,15.1,23240.42754,1.313188963
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2539.788439,0,0.0,23240.42754,0
1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2007.654608,338.1973493,16.8,23240.42754,1.455211392
